Cat_ID,Cat,Trajectory,Definition,Condition,Primary,Ecosystem,Activity ID,Activity,Benefit Nature,Benefit People,Benefit Climate,QB Avoided Emissions,QB Carbon Sequestration
7,5,Forest to C6,Forest converted to barren. Tree cover lost and no vegetation left,,Restore,Mangrove,52,Build permeable breakwaters to trap sediment and re-vegetate mudflats.,Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
7,5,Forest to C6,Forest converted to barren. Tree cover lost and no vegetation left,,Restore,Peatland,53,"Rewet degraded bare peat, control compaction, & reintroduce peatland native species.",Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Equitable benefit-sharing mechanisms,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
7,5,Forest to C6,Forest converted to barren. Tree cover lost and no vegetation left,,Restore,Savanna,54,Savanna revegetation,Improved forest productivity and regeneration; Protection of watershed functions,Sustainable livelihood opportunities; Enhanced food and water security,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
8,6,Non forest to C1/C2,Forest recovery. Not forest in 2014 natural forest in 2024 regenerated without planting,,Manage,Dryland Forest,61,Protect regenerating stands from fire/grazing and apply CBFM.,Improved forest productivity and regeneration; Maintenance of ecological connectivity,Secure land and resource tenure; Strengthened social capital and governance capacity,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
8,6,Non forest to C1/C2,Forest recovery. Not forest in 2014 natural forest in 2024 regenerated without planting,,Manage,Mangrove,62,Protect colonizing seedlings on mudflats and regulate non-timber harvesting.,Enhanced biodiversity and ecosystem functions; Maintenance of ecological connectivity,Sustainable livelihood opportunities; Secure land and resource tenure,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
8,6,Non forest to C1/C2,Forest recovery. Not forest in 2014 natural forest in 2024 regenerated without planting,,Manage,Peatland,63,Maintain high peat water tables and establish community fire-monitoring teams.,Reduced vulnerability to fire; Improved forest productivity and regeneration,Strengthened social capital and governance capacity; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
8,6,Non forest to C1/C2,Forest recovery. Not forest in 2014 natural forest in 2024 regenerated without planting,,Manage,Savanna,64,Protect regenerating stands from fire/grazing and apply CBFM.,Improved forest productivity and regeneration; Maintenance of ecological connectivity,Secure land and resource tenure; Strengthened social capital and governance capacity,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
9,7,Non forest to C3,Plantation stable. Managed tree cover already in place in 2014,,Carbon ineligible,,,,,,,No,No
10,8A,Non forest to C4,Non forest vegetation stable. Shrub grass or wetland since at least 2014,savanna reference GPW natural,Carbon ineligible,,,,,,,No,No
11,8B,Non forest to C4,Non forest vegetation stable. Shrub grass or wetland since at least 2014,savanna reference GPW cultivated,Manage,Savanna,82,"Optimize forage management, rotational grazing, and controlled patch burning.",Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Enhanced food and water security,Increased carbon sequestration and storage; Microclimate regulation,No,No
12,8C,Non forest to C4,Non forest vegetation stable. Shrub grass or wetland since at least 2014,richer reference,Restore,Dryland Forest,831,"Remove invasive flora, plant native non-forest trees, and restore riparian buffers.",Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Enhanced food and water security; Sustainable livelihood opportunities,Microclimate regulation; Increased carbon sequestration and storage,No,Yes
12,8C,Non forest to C4,Non forest vegetation stable. Shrub grass or wetland since at least 2014,richer reference,Restore,Mangrove,832,Restore degraded tidal marshlands and rehabilitate abandoned salt pans.,Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
12,8C,Non forest to C4,Non forest vegetation stable. Shrub grass or wetland since at least 2014,richer reference,Restore,Peatland,833,Construct peat rewetting infrastructures to maintain water tables and revegetate with native species.,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
13,9A,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,cropland rice,Manage,Dryland Forest,911,"Agroforestry (alley cropping, windbreaks) with zero-tillage, cover crops, and biochar.",Protection of watershed functions; Enhanced biodiversity and ecosystem functions,Enhanced food and water security; Sustainable livelihood opportunities,Microclimate regulation; Increased carbon sequestration and storage,No,Yes
13,9A,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,cropland rice,Manage,Mangrove,912,Manage saline-tolerant crop and establish protective mangrove greenbelts.,Protection of watershed functions; Maintenance of ecological connectivity,Enhanced food and water security; Sustainable livelihood opportunities,Enhanced resilience to climate hazards; Microclimate regulation,No,No
13,9A,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,cropland rice,Manage,Peatland,913,Transition drained croplands to paludiculture and maintain water table management.,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Sustainable livelihood opportunities,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
13,9A,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,cropland rice,Manage,Savanna,914,"Agroforestry (alley cropping, windbreaks) with zero-tillage, cover crops, and biochar.",Protection of watershed functions; Enhanced biodiversity and ecosystem functions,Enhanced food and water security; Sustainable livelihood opportunities,Microclimate regulation; Increased carbon sequestration and storage,No,Yes
14,9B,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,aquaculture on mangrove or peat,Restore,Mangrove,921,Breach aquaculture pond dykes for full tidal flushing and replant endemic mangroves.,Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
14,9B,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,aquaculture on mangrove or peat,Restore,Peatland,922,Decommission drained peat farming/ponds and build peat rewetting infrastructures to rewet peat.,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
15,9C,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,aquaculture elsewhere,Manage,Dryland Forest,931,Establish vegetated riparian buffers around inland fish ponds.,Protection of watershed functions; Maintenance of ecological connectivity,Enhanced food and water security; Sustainable livelihood opportunities,Increased carbon sequestration and storage; Enhanced resilience to climate hazards,No,Yes
15,9C,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,aquaculture elsewhere,Manage,Savanna,932,Establish vegetated riparian buffers around inland fish ponds.,Protection of watershed functions; Maintenance of ecological connectivity,Enhanced food and water security; Sustainable livelihood opportunities,Increased carbon sequestration and storage; Enhanced resilience to climate hazards,No,Yes
16,9D,Non forest to C5,Active use stable. Land already in production in 2014 and still in production,settlement,Carbon ineligible,,,,,,,No,No
17,10,Non forest to C6,Barren stable. Bare land with no evidence that forest ever stood there,reference is not 0,Restore,Dryland Forest,101,"Bio-engineering, soil reclamation, and drought-tolerant native afforestation.",Improved forest productivity and regeneration; Protection of watershed functions,Sustainable livelihood opportunities; Enhanced food and water security,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
17,10,Non forest to C6,Barren stable. Bare land with no evidence that forest ever stood there,reference is not 0,Restore,Mangrove,102,Build artificial breakwaters to restore mud substrate and reintroduce pioneer flora.,Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
17,10,Non forest to C6,Barren stable. Bare land with no evidence that forest ever stood there,reference is not 0,Restore,Peatland,103,Rewet bare degraded peat and reintroduce native peatland species.,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
17,10,Non forest to C6,Barren stable. Bare land with no evidence that forest ever stood there,reference is not 0,Restore,Savanna,104,"Bio-engineering, soil reclamation, and drought-tolerant native savana revegetation.",Improved forest productivity and regeneration; Protection of watershed functions,Sustainable livelihood opportunities; Enhanced food and water security,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
